题目编号,章节,题目代码,问题,正确答案,选项 A,选项 B,选项 C,选项 D
LX,1.2.1,MC1-0033,业余无线电台执照的有效期不超过：,C,3 年,1 年,5 年,2 年
LX,1.2.1,MC3-0034,关于业余无线电台执照，下列说法正确的是：,ABC,业余无线电台执照可以采用纸质或者电子形式,执照样式由国家无线电管理机构统一规定,纸质或者电子业余无线电台执照具有同等法律效力,业余无线电台执照终身有效
LX,1.2.1,MC2-0035,关于新版《业余无线电台管理办法》，下列说法正确的是：,AB,新版《办法》施行前依法取得业余无线电台执照的，在执照有效期内可以按照执照载明的参数使用业余无线电台,2012 年 11 月 5 日公布的《业余无线电台管理办法》（工业和信息化部令第 22 号）同时废止,新版《办法》自 2024 年 3 月 1 日起施行,新版《办法》施行前依法取得业余无线电台执照的，在执照有效期内需按照新版《办法》使用业余无线电台
LK0027,1.2.1,MC1-0036,独立操作具有发信功能业余无线电台的年龄条件是：,B,年满十四周岁,具备《业余无线电台操作证书》者操作业余无线电台不受年龄限制,年满十六周岁,年满十八周岁
LY0026,1.2.1,MC1-0037,个人申请设置、使用具有发信功能的业余无线电台的年龄条件是：,A,未成年人可以申请设置、使用规定条件内的业余无线电台,年满十八周岁,年满十六周岁,年满十四周岁
LX,1.2.1,MC1-0038,设置、使用有固定台址的业余无线电台，应当向哪个机构提出申请：,A,电台所在地的省、自治区、直辖市无线电管理机构,中国无线电协会,国家无线电管理机构,设台地的地方无线电民间机构
LX,1.2.1,MC1-0039,设置、使用没有固定台址的业余无线电台，应当向哪个机构提出申请：,D,国家无线电管理机构,中国无线电协会,申请人住所地的地方无线电民间机构,申请人住所地的省、自治区、直辖市无线电管理机构
LY0041,1.2.1,MC3-0040,设置、使用业余无线电台，设置业余无线电台应当具备的条件有：,BCD,加入指定协会、具备当地无线电管理机构规定的操作技术能力,熟悉无线电管理规定,具有相应的操作技术能力，通过相应的操作技术能力验证,使用的无线电发射设备依法取得型号核准，的自制、改装、拼装设备符合国家标准和国家无线电管理规定
LY0044,1.2.2,MC1-0041,业余无线电台执照有效期届满后需要继续使用的，应当在下列期限内向作出许可决定的无线电管理机构申请更换业余无线电台执照：,B,有效期届满三个月之内,期限届满 30 个工作日前,有效期届满两个月之内,有效期届满半年之内
LY0045,1.2.2,MC1-0042,变更业余无线电台执照载明事项的，应当办理下列手续：,D,只需向核发执照的无线电管理机构进行备案,只要设备型号和产品序列号没有改变，不必申请办理变更手续,等执照有效期届满时向核发执照的无线电管理机构申请办理变更手续，换发业余无线电台执照,及时向作出许可决定的无线电管理机构申请办理变更手续
LY0046,1.2.2,MC1-0043,终止使用业余无线电台的，应向下列哪个机构办理业余无线电台执照注销手续：,B,地方无线电管理机构所委托的其他单位,作出许可决定的无线电管理机构,国家无线电管理机构,中国无线电协会
LY0046,1.2.2,MC2-0044,关于终止使用业余无线电台的，下列说法正确的是：,AC,交回执照并自执照注销之日起 60 个工作日内拆除业余无线电台及天线等附属设备并妥善处理,只需交回执照,应当及时向作出许可决定的无线电管理机构办理业余无线电台执照注销手续,交回执照并自执照注销之日起 6 个月内拆除业余无线电台及天线等附属设备并妥善处理
LX,1.2.4,MC3-0047,关于业余中继台的说法下列错误的是：,BCD,通过对业余无线电信号接收和放大转发，扩大通联范围的业余无线电台,通过接收信标信号，辅助验证电波传播条件的单发业余无线电台,通过对业余无线电信号接收和衰减转发，缩小通联范围的业余无线电台,通过发射信标信号，辅助验证电波传播条件的单发业余无线电台
LX,1.2.4,MC3-0048,关于业余信标台的说法下列错误的是：,ACD,通过对业余无线电信号接收和放大转发，扩大通联范围的业余无线电台,通过发射信标信号，辅助验证电波传播条件的单发业余无线电台,通过对业余无线电信号接收和衰减转发，缩小通联范围的业余无线电台,通过接收信标信号，辅助验证电波传播条件的单发业余无线电台
LX,1.2.4,MC2-0049,关于业余中继台哪下列哪些选项正确：,BC,因中继台购买和维护需要成本，要求业余电台必须付费使用中继台,台址布局应当符合资源共享、集约的要求,向其覆盖区域内的业余无线电台提供平等的服务,仅设置申请人的团队成员优先使用，空闲时方供其他业余电台使用
LX,1.2.4,MC4-0050,关于设置业余中继台下列说法正确的是：,ABCD,业余中继台服务区域超出本行政区域的，应当与地方无线电管理机构做好协调,应当向其覆盖区域内的业余无线电台提供平等的服务,明确设台地点、使用频率、技术参数等设置、使用和运行维护要求并向社会公布,台址布局应当符合资源共享、集约的要求
LK0034,1.2.4,MC1-0051,业余中继台的设置和技术参数等应满足下列关键条件：,D,符合申请人关于设置中继台的客观需求和技术考虑,符合设台地的地方业余无线电民间组织的规划,仅需符合设台地的地方无线电管理机构的规划及相关规定,符合国家以及设台地的地方无线电管理机构的规定
LY0020,1.3.1,MC1-0052,可以组织 A 类和 B 类业余无线电台操作技术能力验证的机构是：,D,地方业余无线电协会,省、自治区、直辖市无线电管理机构,地方教育、体育机构及其相关民间组织,国家无线电管理机构和省、自治区、直辖市无线电管理机构
LY0021,1.3.1,MC1-0053,负责组织 C 类业余无线电台操作技术能力验证的机构是：,A,国家无线电管理机构,省、自治区、直辖市无线电管理机构,地方业余无线电协会,国家无线电管理机构和省、自治区、直辖市无线电管理机构
LX,1.3.1,MC1-0054,参加业余无线电台操作技术能力验证时，下列说法正确的是：,D,收取验证考试费,根据业余无线电台类型进行收费,根据爱好者操作类别进行收费,不向参加验证的人员收取考试费用
LY0022,1.3.1,MC1-0055,各类业余无线电台操作技术能力证明文件是：,C,地方无线电协会或者其他业余无线电民间组织颁发的“业余无线电台操作证书”,中国无线电运动协会颁发的“业余无线电台操作证书”,无线电管理机构颁发的“业余无线电台操作技术能力验证证书”,地方无线电协会或者其他业余无线电民间组织出具的盖有公章的证明信件
LX,1.3.2,MC3-0056,国家无线电管理机构及其委托的机构可以组织实施如下类别的业余无线电台操作技术能力验证：,ABD,C 类业余无线电台操作技术能力验证,A 类业余无线电台操作技术能力验证,一级个人业余电台操作证书,B 类业余无线电台操作技术能力验证
LX,1.3.2,MC3-0057,业余无线电台操作技术能力分为哪几类：,ACD,A 类,D 类,C 类,B 类
LY0013,1.3.2,MC2-0058,不同类别业余无线电台的主要区别在于：,AD,允许工作的频率范围,所用业余无线电台的天线高度和长度,所用业余无线电台设备的功能,允许发射的最大发射功率
LY0014、[J]LY0017,1.3.2,MC1-0059,A 类业余无线电台允许工作的频率范围和最大发射功率为：,A,30-3000MHz 频段，不大于 25 瓦,各业余业务和卫星业余业务频段，不大于 15 瓦,各 VHF 和 UHF 频段，不大于 15 瓦,各 VHF 和 UHF 频段，不大于 25 瓦
LY0015、[J]LY0018,1.3.2,MC1-0060,取得 B 类业余无线电台操作技术能力验证证书的，可以申请设置、使用业余无线电台的工作频段和最大发射功率为：,D,30MHz 以下频段不大于 100 瓦，或 30MHz 以上频段不大于 25 瓦,30MHz 以下频段不大于 25 瓦，或 30MHz 以上频段小于 15 瓦,30MHz 以下频段不大于 25 瓦，或 30MHz 以上频段不大于 100 瓦,30MHz 以下频段小于 15 瓦，或 30MHz 以上频段不大于 25 瓦
LY0016、[J]LY0019,1.3.2,MC1-0061,取得 C 类业余无线电台操作技术能力验证证书的，可以申请设置、使用业余无线电台的工作频段和最大发射功率为：,A,30MHz 以下频段不大于 1000 瓦，或 30MHz 以上频段不大于 25 瓦,30MHz 以下频段不大于 100 瓦，或 30MHz 以上频段不大于 25 瓦,30MHz 以下频段不大于 25 瓦，或 30MHz 以上频段不大于 15 瓦,30MHz 以下频段不大于 25 瓦，或 30MHz 以上频段不大于 1000 瓦
LX,1.3.2,MC2-0062,参加 A 类业余无线电台操作技术能力验证应当符合下列哪些要求：,AD,具有一定的业余无线电台操作技术能力,应当年满 16 周岁,应当年满 18 周岁,应当熟悉无线电管理规定
LX,1.3.2,MC2-0063,参加 B 类业余无线电台操作技术能力验证应当符合下列哪些要求：,CD,应当年满 18 周岁,应当年满 16 周岁,具有相应的实际操作经验,应当依法取得业余无线电台执照 6 个月以上
LX,1.3.2,MC2-0064,参加 C 类业余无线电台操作技术能力验证应当符合下列哪些要求：,BC,应当依法取得载明 30MHz 以下频段的业余无线电台执照 6 个月以上,应当依法取得载明 30MHz 以下频段的业余无线电台执照 18 个月以上,具有相应的实际操作经验,应当依法取得载明 30MHz 以下频段的业余无线电台执照 12 个月以上
LX,1.3.2,MC2-0065,取得 A 类业余无线电台操作技术能力验证证书的，可以申请设置、使用如下业余无线电台:,AB,设置、使用最大发射功率不大于 25 瓦 UHF 频段业余无线电台,设置、使用最大发射功率不大于 25 瓦 VHF 频段业余无线电台,设置、使用最大发射功率不大于 15 瓦 HF 频段业余无线电台,设置、使用最大发射功率不大于 25 瓦 HF 频段业余无线电台
LX,1.3.2,MC4-0066,取得 B 类业余无线电台操作技术能力验证证书的，可以申请设置、使用如下业余无线电台:,ABCD,设置、使用最大发射功率不大于 25 瓦 VHF 频段业余无线电台,设置、使用最大发射功率不大于 25 瓦 UHF 频段业余无线电台,设置、使用最大发射功率小于 15 瓦 LF 频段业余无线电台,设置、使用最大发射功率小于 15 瓦 HF 频段业余无线电台
LX,1.3.2,MC4-0067,取得 C 类业余无线电台操作技术能力验证证书的，可以申请设置、使用如下业余无线电台:,ABCD,因开展特殊技术试验、通联等活动确需设置、使用大于 25 瓦 VHF 频段业余无线电台,设置、使用最大发射功率不大于 1000 瓦 HF 频段业余无线电台,设置、使用最大发射功率不大于 25 瓦 VHF 频段业余无线电台,设置、使用最大发射功率不大于 25 瓦 UHF 频段业余无线电台
LX,1.3.2,MC2-0068,关于开展特殊技术试验、通联等活动，下列说法正确的是：,BC,取得 B 类业余无线电台操作技术能力验证证书且取得业余无线电台执照的人员，经批准可临时在限定条件下开展电台操作,开展特殊技术试验、通联等活动，确需超出业余无线电台执照载明的功率限值使用业余无线电台的，需经颁发业余无线电台执照的无线电管理机构批准,取得 C 类业余无线电台操作技术能力验证证书且取得业余无线电台执照的人员，经批准可临时在限定条件下开展电台操作,取得 A 类业余无线电台操作技术能力验证证书且取得业余无线电台执照的人员，经批准可临时在限定条件下开展电台操作
LX,1.3.2,MC2-0069,关于未成年人设置、使用业余无线电台，下列哪些选项为正确：,AB,持有 A 类验证证书的可以设置最大发射功率不大于 25 瓦 VHF 频段业余无线电台,持有 B 类验证证书的可以设置最大发射功率不大于 25 瓦 VHF 频段业余无线电台,持有 A 类验证证书的可以设置最大发射功率不大于 15 瓦 HF 频段业余无线电台,持有 B 类验证证书的可以设置最大发射功率不大于 15 瓦 HF 频段业余无线电台
LX,1.3.2,MC4-0070,关于业余无线电台操作技术能力验证，下列哪些选项为正确：,ABCD,无线电管理机构或者其委托的机构组织将提前向社会公布验证时间、验证要求等有关事项,参加业余无线电台操作技术能力验证成绩合格的，由无线电管理机构颁发业余无线电台操作技术能力验证证书,不得向参加验证的人员收取费用,业余无线电台操作技术能力验证题库以及验证标准由国家无线电管理机构制定
LX,1.3.2,MC2-0071,关于新版《办法》施行前，依法取得 B 类业余无线电台操作技术能力验证证书的，下列哪些选项为正确：,BD,新版《办法》施行前取得的 B 类业余无线电台操作技术能力验证证书不再有效,可以按照规定的许可权限申请设置、使用工作在 30MHz 以上频段且最大发射功率不大于25 瓦的业余无线电台,应按照新版《办法》中 B 类业余无线电台操作技术能力验证规定的范围设置、使用电台,可以按照规定的许可权限申请设置、使用工作在 30MHz 以下频段且最大发射功率不大于100 瓦
LY0077,1.4.1,MC3-0072,《业余无线电台管理办法》规定正确使用业余无线电台呼号的方法是：,ABC,在通信过程中不定期（间隔不超过 10 分钟）发送本业余无线电台呼号,使用业余无线电台的单位或者个人应当在每次通信建立及结束时发送本业余无线电台呼号,鼓励业余无线电台在通联期间通过技术手段自动发送电台呼号,使用业余无线电台的单位或者个人在通信中可以用姓名、代号、适当的别名或者法规定呼号的部分数字和字母代替完整的业余电台呼号作为电台的标识
LK0080,1.4.1,MC1-0073,业余无线电台呼号的核发流程是：,C,在向无线电管理机构委托的受理服务机构提交设台申请窗口后，由服务机构核发呼号,无线电管理机构核发业余无线电台执照后，由申请人再向其申请核发呼号,无线电管理机构颁发业余无线电台执照，应当同时向申请人核发业余无线电台呼号,业余无线电台设台人在提交设台申请的同时提出所要求指配的呼号，经服务机构同意后，报无线电管理机构正式核发
LX,1.4.1,MC1-0074,无线电管理机构颁发业余无线电台执照时，若申请人已取得业余中继台、业余信标台呼号以外的其他业余无线电台呼号，无线电管理机构将：,D,业余无线电台设台人在提交设台申请的同时提出所要求指配的呼号，经服务机构同意后，报无线电管理机构正式核发,无线电管理机构向其更换业余无线电台呼号,由申请人再向其申请核发呼号，无线电管理机构将核发新的业余无线电台呼号,无线电管理机构不再核发新的业余无线电台呼号
LX,1.4.1,MC2-0075,业余无线电台呼号停止使用的，下列说法正确的是：,AB,业余无线电台呼号停止使用的，应当依法予以注销,除业余中继台、业余信标台呼号外，其他业余无线电台呼号注销 1 年后，无线电管理机构可以将相关电台呼号重新投入分配,业余无线电台呼号停止使用的，不用申请注销,除业余中继台、业余信标台呼号外，其他业余无线电台呼号注销后，无线电管理机构可立即将相关电台呼号重新投入分配
LX,1.4.1,MC1-0076,注销的电台呼号重新投入分配前，申请人再次申请设置、使用业余无线电台，下列说法正确的是：,C,无线电管理机构经审查决定颁发业余无线电台执照的，应当同时核发新的的电台呼号,电台呼号注销后，申请人不能再次申请设置、使用业余无线电台,无线电管理机构经审查决定颁发业余无线电台执照的，应当同时核发申请人已注销的电台呼号,电台呼号注销后，将不再向申请人核发电台呼号
LX,1.4.1,MC2-0077,在他人依法设置的业余无线电台上进行发射操作的，下列说法正确的是：,BD,不可在他人依法设置的业余无线电台上进行发射操作,使用实际操作人员取得的呼号的，业余无线电台通联期间发送呼号的格式应当符合国内国际相关要求,业余无线电爱好者只能在自己设置的业余无线电台上进行发射操作,应当使用所操作业余无线电台的呼号或者实际操作人员取得的呼号
LX,1.4.1,MC3-0078,满足下列哪些条件，可以临时使用其他业余无线电台呼号？,ABD,参加或者举办业余无线电通联比赛以及其他重大业余无线电活动,经比赛（活动）主办方（牵头单位）报国家无线电管理机构批准,何时何地都不能临时使用其他业余无线电台呼号,其他业余无线电台呼号符合国际规则
LX,1.4.1,MC4-0079,关于业余无线电台呼号，下列说法正确的是：,ABCD,呼号第四部分为呼号后缀,呼号第二部分为电台种类,呼号第三部分为分区编号,呼号第一部分为呼号前缀
LX,1.4.1,MC2-0080,关于业余无线电台呼号前缀，下列说法正确的是：,AB,呼号前缀（呼号第一部分）由一位字母组成,为国际电信联盟分配的呼号前缀字母 B,为国际电信联盟分配的呼号前缀字母 BA,为国际电信联盟分配的呼号前缀字母 A
LX,1.4.1,MC4-0081,关于电台种类（呼号第二部分），下列说法正确的是：,ABCD,字母 S、T、Y、Z 以及其他字母序列的业余无线电台呼号由国家无线电管理机构保留,字母 R 用于业余中继台和业余信标台呼号,字母 G、H、I、D、A、B、C、E、F、K、L 用于一般业余无线电台呼号,字母 J 用于空间业余无线电台呼号
LX,1.4.1,MC3-0082,关于分区编号（呼号第三部分），下列说法正确的是：,ABD,用于表示业余无线电台分区号,空间业余无线电台分区号为 1,空间业余无线电台分区号为 2,由一位数字组成
LX,1.4.1,MC3-0083,关于呼号后缀（呼号第四部分），下列说法正确的是：,BCD,呼号后缀由 1～4 位数字组成,QOA～QUZ 及 SOS、XXX、TTT 等可能与遇险信号或类似性质的其他信号混淆的字母组合不用作呼号后缀,由 1～4 位的字母或者字母和数字的组合组成,1 位、4 位呼号后缀，以及带有数字的呼号后缀由国家无线电管理机构保留
LX,1.4.1,MC3-0084,各省、自治区、直辖市无线电管理机构核发一般业余无线电台呼号时，下列说法正确的是：,ACD,呼号第二部分按照 G、H、I、D、A、B、C、E、F、K、L 顺序,各省、自治区、直辖市无线电管理机构核发的业余无线电台呼号的分区号都相同,各省、自治区、直辖市无线电管理机构核发的业余无线电台呼号前缀都相同,第四部分按照双字母、三字母组合顺序依次编制并核发业余无线电台呼号
LK0081,1.4.1,MC1-0085,业余无线电爱好者对已核发给自己的电台呼号不满意，是否可以申请另行核发业余无线电台呼号？,A,不可以。颁发业余无线电台执照的无线电管理机构已经为申请人核发业余无线电台呼号的，不另行核发其他业余无线电台呼号,业余无线电台执照有效期届满、设台人向核发执照的无线电管理机构申请办理延续手续时可以申请另行核发业余无线电台呼号,更新所设置的业余无线电台类别时可以申请另行核发业余无线电台呼号,可以申请另行核发业余无线电台呼号，但须缴纳额外的费用
LK0082,1.4.1,MC1-0086,各地业余无线电台呼号前缀字母和后缀字符的可用范围的确定方法是：,D,由业余无线电爱好者根据需求提出建议，当地无线电管理机构批准,地方无线电民间组织提出建议，当地无线电管理机构批准,地方无线电管理机构根据当地呼号资源的使用情况自行分配,由国家无线电管理机构编制和分配
LX,1.4.1,MC3-0087,关于使用业余无线电台呼号正确的是：,ACD,应当在每次通信过程中每十分钟发送（报出）本台业余无线电台呼号,应当在每次通信过程中主动发送（报出）自造的呼号作为本台业余无线电台呼号的补充,应当在每次通信建立时主动发送（报出）本台业余无线电台呼号,应当在每次通信结束时主动发送（报出）本台业余无线电台呼号
LX,1.4.1,MC4-0088,业余无线电台呼号由下列哪些部分组成：,ABCD,呼号后缀,呼号前缀,分区编号,电台种类
LK1071,1.4.1,MC1-0089,《业余无线电台管理办法》要求业余电台在建立和结束通信时主动发送本台呼号。允许使用呼号的一部分（比如后缀）替代完整呼号的情况包括：,B,在 HF 频段联络国内电台时可将呼号的后缀用作电台标识，但是 DX 联络不可以,在任何情况下都必须使用完整的呼号,在 VHF/UHF 等本地频段建立通信时可将呼号的后缀用作电台标识,联络相识的友台时可将呼号的后缀用作电台标识
LK1072,1.4.1,MC1-0090,在业余无线电通联中，是否可将本台或对方电台呼号之中的地区码加后缀视作《业余无线电台管理办法》中的“电台呼号”？,A,不可以。这是对呼号的不完整表述。其不具标识意义，不能视作电台呼号,在 HF 进行国内通联可以使用这种不完整呼号。但是如遇 DX 电台则不可以,在 VHF/UHF 等频段进行通联可以使用这种不完整呼号。这会增加亲切感,与熟悉的友台通联就可以使用这种不完整呼号。这就如同将对方称为 OM
LX,1.4.2,MC1-0091,关于我国业余无线电台分区号，业余分区号为 1 的省（自治区、直辖市）为：,B,河北,北京,黑龙江,上海
LX,1.4.2,MC3-0092,关于我国业余无线电台分区号，业余分区号为 2 的省（自治区、直辖市）为：,ABC,辽宁,吉林,黑龙江,广东
LX,1.4.2,MC4-0093,关于我国业余无线电台分区号，业余分区号为 3 的省（自治区、直辖市）为：,ABCD,内蒙古,山西,河北,天津
LX,1.4.2,MC3-0094,关于我国业余无线电台分区号，业余分区号为 4 的省（自治区、直辖市）为：,ABC,江苏,上海,山东,海南
LX,1.4.2,MC3-0095,关于我国业余无线电台分区号，业余分区号为 5 的省（自治区、直辖市）为：,ABC,江西,浙江,福建,广西
LX,1.4.2,MC3-0096,关于我国业余无线电台分区号，业余分区号为 6 的省（自治区、直辖市）为：,ABC,湖北,河南,安徽,四川
LX,1.4.2,MC4-0097,关于我国业余无线电台分区号，业余分区号为 7 的省（自治区、直辖市）为：,ABCD,广东,广西,海南,湖南
LX,1.4.2,MC4-0098,关于我国业余无线电台分区号，业余分区号为 8 的省（自治区、直辖市）为：,ABCD,四川,云南,贵州,重庆
LX,1.4.2,MC4-0099,关于我国业余无线电台分区号，业余分区号为 9 的省（自治区、直辖市）为：,ABCD,陕西,宁夏,青海,甘肃
